Latitude (deg),Longitude (deg),Altitude (deg),Time (s)
29.18605,-81.07366667,-1.86264514923096E-09,0
29.1860451005183,-81.0736681611194,-5.81331551074982E-06,1
29.1860304020732,-81.0736726344768,-2.29505822062492E-05,2
29.1860059046641,-81.0736800900696,-5.05177304148674E-05,3
29.1859716082907,-81.0736905278935,-8.70209187269211E-05,4
29.1859275129519,-81.0737039479427,-0.000130376778542995,5
29.1858736186468,-81.0737203502094,-0.000177893787622452,6
29.1858099253739,-81.0737397346843,-0.000226292759180069,7
29.1857364331317,-81.0737621013564,-0.000271692872047424,8
29.1856531955242,-81.0737874340617,-0.000309600494801998,9
29.1855660297911,-81.0738139636061,-0.000333909876644611,10
29.1854788640517,-81.0738404931055,-0.000342477113008499,11
29.1853916983058,-81.0738670225601,-0.000335304066538811,12
29.1853045325536,-81.0738935519699,-0.000312389805912971,13
29.1852173373337,-81.0739199550614,-0.000281656160950661,14
29.185130118659,-81.0739462575936,-0.000241485424339771,15
29.185042899978,-81.0739725600812,-0.000185576267540455,16
29.1849556812907,-81.0739988625244,-0.000113923102617264,17
29.1848684625971,-81.0740251649231,-2.65296548604965E-05,18
29.1847808163675,-81.0740495440538,-4.44380566477776E-05,19
29.1846931278872,-81.0740737331239,-5.85634261369705E-05,20
29.1846054394015,-81.0740979221529,-5.69475814700127E-05,21
29.1845177509102,-81.0741221111408,-3.95895913243294E-05,22
29.1844301098728,-81.0741465197299,-2.61878594756126E-05,23
29.1843425899303,-81.0741714887915,-4.7316774725914E-05,24
29.184255069982,-81.0741964578108,-5.27035444974899E-05,25
29.1841675500279,-81.0742214267877,-4.23481687903404E-05,26
29.184080030068,-81.0742463957222,-1.62525102496147E-05,27
29.1839927846016,-81.074272571286,-4.02946025133133E-05,28
29.1839056419571,-81.0742991988104,-7.3273666203022E-05,29
29.1838184993062,-81.0743258262898,-9.05143097043037E-05,30
29.1837313566488,-81.0743524537242,-9.20118764042854E-05,31
29.1836442187618,-81.0743791013692,-8.86935740709305E-05,32
29.1835570956467,-81.0744058116793,-0.000103447586297989,33
29.1834699725252,-81.0744325219444,-0.000102461315691471,34
29.1833828493972,-81.0744592321643,-8.57347622513771E-05,35
29.1832957262628,-81.0744859423391,-5.32669946551323E-05,36
29.183208194143,-81.0745108443987,-8.5725449025631E-05,37
29.1831205958926,-81.0745354540682,-0.000115483999252319,38
29.1830329976366,-81.0745600636959,-0.000129498541355133,39
29.182945399375,-81.0745846732818,-0.000127773731946945,40
29.1828572908771,-81.0746066740053,-0.000163555145263672,41
29.1827688122339,-81.0746267821718,-0.000222222879528999,42
29.1826803335866,-81.0746468903038,-0.000265148468315601,43
29.1825918549351,-81.0746669984013,-0.000292329117655754,44
29.1825033619814,-81.0746870243385,-0.000303758308291435,45
29.182414847236,-81.0747069250737,-0.000299426726996899,46
29.1823263324864,-81.0747268257748,-0.000279353000223637,47
29.1822378177327,-81.0747467264418,-0.000243533402681351,48
29.1821490081881,-81.0747645785059,-0.000207334756851196,49
29.1820595513552,-81.0747779322494,-0.000189125537872314,50
29.1819700945196,-81.0747912859697,-0.000155171379446983,51
29.1818806376816,-81.0748046396668,-0.000105472281575203,52
29.1817909458418,-81.0748147673573,-7.643923163414E-05,53
29.1817007811658,-81.0748184040338,-0.000104926526546478,54
29.1816106164885,-81.0748220407039,-0.000117668882012367,55
29.1815204518098,-81.0748256773678,-0.000114663504064083,56
29.1814302970476,-81.0748257530937,-0.000109023414552212,57
29.1813401544305,-81.0748214646124,-0.000103705562651157,58
29.181250011812,-81.0748171761385,-8.26418399810791E-05,59
29.1811598691922,-81.0748128876722,-4.58303838968277E-05,60
29.1810703490168,-81.0748012093084,-3.80156561732292E-05,61
29.1809811362158,-81.0747858816356,-3.65478917956352E-05,62
29.1808922008676,-81.0747691356246,-2.70353630185127E-05,63
29.180805721177,-81.0747398362808,-6.99320808053017E-05,64
29.1807192414789,-81.0747105369863,-9.70922410488129E-05,65
29.1806327617732,-81.0746812377408,-0.000108511187136173,66
29.1805477103892,-81.0746473029679,-0.000113521702587605,67
29.180464138556,-81.07460856638,-0.000112466514110565,68
29.1803805667105,-81.0745698298549,-9.56756994128227E-05,69
29.1802969948528,-81.0745310933926,-6.31511211395264E-05,70
29.1802167931546,-81.0744840254985,-9.39024612307549E-05,71
29.1801366637263,-81.0744367789811,-0.000110618770122528,72
29.1800565342804,-81.0743895325371,-0.000111605040729046,73
29.17997880881,-81.0743375508189,-0.000122840516269207,74
29.1799029199444,-81.0742819514375,-0.000138197094202042,75
29.1798270310548,-81.0742263521379,-0.000137830153107643,76
29.1797520843014,-81.0741692086735,-0.000123818404972553,77
29.1796799139121,-81.074107514687,-0.000100205652415752,78
29.1796077434936,-81.0740458207868,-6.08759000897408E-05,79
29.1795359668408,-81.0739836154365,-9.73977148532867E-06,80
29.1794728851319,-81.0739101153221,-2.92481854557991E-05,81
29.179409803382,-81.0738366152977,-3.30507755279541E-05,82
29.1793536452949,-81.073756282309,-5.61196357011795E-05,83
29.1792988106748,-81.0736746432194,-7.01742246747017E-05,84
29.1792439760044,-81.0735930042167,-6.85360282659531E-05,85
29.1791961478051,-81.0735058750305,-0.000100500881671906,86
29.17914887176,-81.0734183132168,-0.000120664946734905,87
29.1791015956574,-81.0733307514834,-0.000125139951705933,88
29.179061248332,-81.0732388074859,-0.000113137997686863,89
29.1790210423706,-81.0731467741164,-8.54404643177986E-05,90
29.1789819222016,-81.0730541986493,-5.64297661185265E-05,91
29.1789497954467,-81.0729581313712,-0.000104298815131187,92
29.1789176686229,-81.0728620641529,-0.00013649370521307,93
29.1788889264808,-81.07276474751,-0.000172870233654976,94
29.1788655139929,-81.0726654634425,-0.000224846415221691,95
29.1788421014314,-81.0725661794201,-0.000261149369180202,96
29.1788224089578,-81.0724658852647,-0.000281011685729027,97
29.1788040102243,-81.0723652398211,-0.000284936279058456,98
29.1787857000072,-81.0722645736532,-0.000273155979812145,99
29.1787677566098,-81.0721638215595,-0.000245556235313416,100
29.1787498131365,-81.0720630695008,-0.000202285125851631,101
29.1787352980858,-81.0719616292198,-0.000142964534461498,102
29.1787219453233,-81.0718599556289,-6.7845918238163E-05,103
29.1787129094705,-81.0717578454036,-2.55098566412926E-05,104
29.1787103361606,-81.0716550814877,-4.00394201278687E-05,105
29.1787093360857,-81.0715523678107,-4.02824953198433E-05,106
29.1787169552534,-81.0714499293177,-3.24184074997902E-05,107
29.1787337593926,-81.0713491447703,-6.28605484962463E-05,108
29.1787542324128,-81.0712490208575,-9.91923734545708E-05,109
29.178781443079,-81.0711512974276,-0.0001519825309515,110
29.1788146701195,-81.071055717489,-0.00021778792142868,111
29.1788484445417,-81.0709603924663,-0.00026774313300848,112
29.1788834837388,-81.0708656564706,-0.000301617197692394,113
29.1789185228686,-81.0707709204106,-0.000319815240800381,114
29.1789535599661,-81.0706761833372,-0.000322332605719566,115
29.178988596946,-81.0705814461806,-0.000309172086417675,116
29.1790255763742,-81.0704876982182,-0.000279831700026989,117
29.1790641480844,-81.0703947611124,-0.000234397128224373,118
29.1791028953467,-81.0703019301599,-0.000174150802195072,119
29.1791488320134,-81.0702134475596,-0.000133749097585678,120
29.1791947686213,-81.0701249648805,-7.76620581746101E-05,121
29.1792434945097,-81.0700385670813,-5.99883496761322E-05,122
29.1792964231655,-81.0699553107027,-0.000108140520751476,123
29.1793493517691,-81.0698720542387,-0.00014059990644455,124
29.1794057089516,-81.0697918464809,-0.00015692412853241,125
29.1794637192464,-81.0697131086542,-0.000157341361045837,126
29.1795217294944,-81.069634370739,-0.000142057426273823,127
29.1795819932278,-81.0695578754812,-0.000113514252007008,128
29.1796426577749,-81.069481779071,-6.97020441293716E-05,129
29.1797033222783,-81.0694056825713,-1.01877376437187E-05,130
29.1797695359141,-81.0693358982505,-7.04741105437279E-05,131
29.1798362110025,-81.0692666387909,-0.00012632180005312,132
29.1799028860544,-81.0691973792418,-0.000166458077728748,133
29.1799705810681,-81.0691294190561,-0.000190794467926025,134
29.1800383927218,-81.069061607423,-0.000199409201741219,135
29.1801062043405,-81.0689937957007,-0.000192313455045223,136
29.1801746515152,-81.0689268208995,-0.000169462524354458,137
29.1802432873897,-81.0688600945463,-0.000130888074636459,138
29.1803119232303,-81.0687933681043,-7.65994191169739E-05,139
29.1803819871827,-81.0687286403761,-8.36821272969246E-05,140
29.1804532432334,-81.0686655810368,-0.000139395706355572,141
29.1805244992536,-81.0686025216103,-0.000179391354322433,142
29.1805961203874,-81.0685400151688,-0.000210889615118504,143
29.1806690415066,-81.0684794777604,-0.000252366997301579,144
29.1807419625976,-81.0684189402665,-0.000278126448392868,145
29.1808148836604,-81.068358402687,-0.000288167037069798,146
29.1808878050069,-81.0682978655128,-0.000282489694654942,147
29.1809607264083,-81.0682373283797,-0.000261092558503151,148
29.1810336477816,-81.0681767911611,-0.000223974697291851,149
